"l","a","b","u"
0.09,-0.448818898,-0.582677165,0
0.14,-0.448818898,-0.582677165,-0.588914490956153
0.19,-0.448818898,-0.582677165,-1.13864527231967
0.24,-0.448818898,-0.582677165,-1.61000863449792
0.29,-0.448818898,-0.582677165,-1.96382086789826
0.34,-0.448818898,-0.582677165,-2.17756325202256
0.39,-0.448818898,-0.582677165,-2.29537702275073
0.44,-0.448818898,-0.582677165,-2.37806840505716
0.49,-0.448818898,-0.582677165,-2.48644362391628
0.54,-0.448818898,-0.582677165,-2.65515950774951
0.59,-0.448818898,-0.582677165,-2.81427529876648
0.64,-0.448818898,-0.582677165,-2.86770084262383
0.69,-0.448818898,-0.582677165,-2.71934598497821
0.74,-0.448818898,-0.582677165,-2.30154687037043
0.79,-0.448818898,-0.582677165,-1.66034483887792
0.84,-0.448818898,-0.582677165,-0.870207529462248
0.89,-0.448818898,-0.582677165,-0.00560258108499756
0.09,-0.348818898,-0.582677165,0.828600627124254
0.14,-0.348818898,-0.582677165,0.2396861361681
0.19,-0.348818898,-0.582677165,-0.310044645195417
0.24,-0.348818898,-0.582677165,-0.781408007373663
0.29,-0.348818898,-0.582677165,-1.135220240774
0.34,-0.348818898,-0.582677165,-1.34896262489831
0.39,-0.348818898,-0.582677165,-1.46677639562647
0.44,-0.348818898,-0.582677165,-1.54946777793291
0.49,-0.348818898,-0.582677165,-1.65784299679202
0.54,-0.348818898,-0.582677165,-1.82655888062526
0.59,-0.348818898,-0.582677165,-1.98567467164222
0.64,-0.348818898,-0.582677165,-2.03910021549957
0.69,-0.348818898,-0.582677165,-1.89074535785396
0.74,-0.348818898,-0.582677165,-1.47294624324618
0.79,-0.348818898,-0.582677165,-0.831744211753664
0.84,-0.348818898,-0.582677165,-0.041606902337994
0.89,-0.348818898,-0.582677165,0.822998046039256
0.09,-0.248818898,-0.582677165,1.61873690935456
0.14,-0.248818898,-0.582677165,1.02982241839841
0.19,-0.248818898,-0.582677165,0.480091637034888
0.24,-0.248818898,-0.582677165,0.00872827485664174
0.29,-0.248818898,-0.582677165,-0.345083958543698
0.34,-0.248818898,-0.582677165,-0.558826342668001
0.39,-0.248818898,-0.582677165,-0.676640113396169
0.44,-0.248818898,-0.582677165,-0.759331495702605
0.49,-0.248818898,-0.582677165,-0.867706714561718
0.54,-0.248818898,-0.582677165,-1.03642259839495
0.59,-0.248818898,-0.582677165,-1.19553838941192
0.64,-0.248818898,-0.582677165,-1.24896393326927
0.69,-0.248818898,-0.582677165,-1.10060907562365
0.74,-0.248818898,-0.582677165,-0.682809961015874
0.79,-0.248818898,-0.582677165,-0.0416079295233593
0.84,-0.248818898,-0.582677165,0.748529379892311
0.89,-0.248818898,-0.582677165,1.61313432826956
0.09,-0.148818898,-0.582677165,2.32465147463801
0.14,-0.148818898,-0.582677165,1.73573698368185
0.19,-0.148818898,-0.582677165,1.18600620231834
0.24,-0.148818898,-0.582677165,0.71464284014009
0.29,-0.148818898,-0.582677165,0.36083060673975
0.34,-0.148818898,-0.582677165,0.147088222615448
0.39,-0.148818898,-0.582677165,0.0292744518872796
0.44,-0.148818898,-0.582677165,-0.0534169304191572
0.49,-0.148818898,-0.582677165,-0.161792149278269
0.54,-0.148818898,-0.582677165,-0.330508033111504
0.59,-0.148818898,-0.582677165,-0.489623824128469
0.64,-0.148818898,-0.582677165,-0.543049367985819
0.69,-0.148818898,-0.582677165,-0.394694510340202
0.74,-0.148818898,-0.582677165,0.0231046042675742
0.79,-0.148818898,-0.582677165,0.664306635760089
0.84,-0.148818898,-0.582677165,1.45444394517576
0.89,-0.148818898,-0.582677165,2.31904889355301
0.09,-0.048818898,-0.582677165,2.87141484228584
0.14,-0.048818898,-0.582677165,2.28250035132968
0.19,-0.048818898,-0.582677165,1.73276956996617
0.24,-0.048818898,-0.582677165,1.26140620778792
0.29,-0.048818898,-0.582677165,0.907593974387579
0.34,-0.048818898,-0.582677165,0.693851590263276
0.39,-0.048818898,-0.582677165,0.576037819535109
0.44,-0.048818898,-0.582677165,0.493346437228672
0.49,-0.048818898,-0.582677165,0.384971218369559
0.54,-0.048818898,-0.582677165,0.216255334536325
0.59,-0.048818898,-0.582677165,0.05713954351936
0.64,-0.048818898,-0.582677165,0.00371399966200947
0.69,-0.048818898,-0.582677165,0.152068857307627
0.74,-0.048818898,-0.582677165,0.569867971915403
0.79,-0.048818898,-0.582677165,1.21107000340792
0.84,-0.048818898,-0.582677165,2.00120731282359
