"l","a","b","u"
0.09,-0.448818898,-0.582677165,0
0.19,-0.448818898,-0.582677165,-1.13864527231967
0.29,-0.448818898,-0.582677165,-1.96382086789826
0.39,-0.448818898,-0.582677165,-2.29537702275073
0.49,-0.448818898,-0.582677165,-2.48644362391628
0.59,-0.448818898,-0.582677165,-2.81427529876648
0.69,-0.448818898,-0.582677165,-2.71934598497821
0.79,-0.448818898,-0.582677165,-1.66034483887792
0.89,-0.448818898,-0.582677165,-0.00560258108499756
0.09,-0.248818898,-0.582677165,1.61873690935456
0.19,-0.248818898,-0.582677165,0.480091637034888
0.29,-0.248818898,-0.582677165,-0.345083958543698
0.39,-0.248818898,-0.582677165,-0.676640113396169
0.49,-0.248818898,-0.582677165,-0.867706714561718
0.59,-0.248818898,-0.582677165,-1.19553838941192
0.69,-0.248818898,-0.582677165,-1.10060907562365
0.79,-0.248818898,-0.582677165,-0.0416079295233593
0.89,-0.248818898,-0.582677165,1.61313432826956
0.09,-0.048818898,-0.582677165,2.87141484228584
0.19,-0.048818898,-0.582677165,1.73276956996617
0.29,-0.048818898,-0.582677165,0.90759397438758
0.39,-0.048818898,-0.582677165,0.576037819535109
0.49,-0.048818898,-0.582677165,0.38497121836956
0.59,-0.048818898,-0.582677165,0.0571395435193609
0.69,-0.048818898,-0.582677165,0.152068857307627
0.79,-0.048818898,-0.582677165,1.21107000340792
0.89,-0.048818898,-0.582677165,2.86581226120084
0.09,0.151181102,-0.582677165,3.18658294479928
0.19,0.151181102,-0.582677165,2.04793767247961
0.29,0.151181102,-0.582677165,1.22276207690103
0.39,0.151181102,-0.582677165,0.891205922048556
0.49,0.151181102,-0.582677165,0.700139320883006
0.59,0.151181102,-0.582677165,0.372307646032807
0.69,0.151181102,-0.582677165,0.467236959821073
0.79,0.151181102,-0.582677165,1.52623810592136
0.89,0.151181102,-0.582677165,3.18098036371429
0.09,0.351181102,-0.582677165,2.57810095048591
0.19,0.351181102,-0.582677165,1.43945567816624
0.29,0.351181102,-0.582677165,0.614280082587656
0.39,0.351181102,-0.582677165,0.282723927735185
0.49,0.351181102,-0.582677165,0.0916573265696359
0.59,0.351181102,-0.582677165,-0.236174348280564
0.69,0.351181102,-0.582677165,-0.141245034492297
0.79,0.351181102,-0.582677165,0.917756111607994
0.89,0.351181102,-0.582677165,2.57249836940091
0.09,0.551181102,-0.582677165,1.63358940252979
0.19,0.551181102,-0.582677165,0.494944130210118
0.29,0.551181102,-0.582677165,-0.330231465368468
0.39,0.551181102,-0.582677165,-0.661787620220939
0.49,0.551181102,-0.582677165,-0.852854221386488
0.59,0.551181102,-0.582677165,-1.18068589623669
0.69,0.551181102,-0.582677165,-1.08575658244842
0.79,0.551181102,-0.582677165,-0.0267554363481293
0.89,0.551181102,-0.582677165,1.62798682144479
0.09,-0.448818898,-0.382677165,1.03374714341828
0.19,-0.448818898,-0.382677165,-0.104898128901395
0.29,-0.448818898,-0.382677165,-0.930073724479981
0.39,-0.448818898,-0.382677165,-1.26162987933245
0.49,-0.448818898,-0.382677165,-1.452696480498
0.59,-0.448818898,-0.382677165,-1.7805281553482
0.69,-0.448818898,-0.382677165,-1.68559884155993
0.79,-0.448818898,-0.382677165,-0.626597695459642
0.89,-0.448818898,-0.382677165,1.02814456233328
0.09,-0.248818898,-0.382677165,2.65248405277283
0.19,-0.248818898,-0.382677165,1.51383878045316
0.29,-0.248818898,-0.382677165,0.688663184874578
0.39,-0.248818898,-0.382677165,0.357107030022107
0.49,-0.248818898,-0.382677165,0.166040428856558
0.59,-0.248818898,-0.382677165,-0.161791245993641
0.69,-0.248818898,-0.382677165,-0.066861932205375
0.79,-0.248818898,-0.382677165,0.992139213894916
0.89,-0.248818898,-0.382677165,2.64688147168784
0.09,-0.048818898,-0.382677165,3.90516198570411
0.19,-0.048818898,-0.382677165,2.76651671338444
0.29,-0.048818898,-0.382677165,1.94134111780586
0.39,-0.048818898,-0.382677165,1.60978496295339
0.49,-0.048818898,-0.382677165,1.41871836178784
0.59,-0.048818898,-0.382677165,1.09088668693764
0.69,-0.048818898,-0.382677165,1.1858160007259
0.79,-0.048818898,-0.382677165,2.24481714682619
0.89,-0.048818898,-0.382677165,3.89955940461912
0.09,0.151181102,-0.382677165,4.22033008821756
0.19,0.151181102,-0.382677165,3.08168481589789
0.29,0.151181102,-0.382677165,2.2565092203193
0.39,0.151181102,-0.382677165,1.92495306546683
0.49,0.151181102,-0.382677165,1.73388646430128
0.59,0.151181102,-0.382677165,1.40605478945108
0.69,0.151181102,-0.382677165,1.50098410323935
0.79,0.151181102,-0.382677165,2.55998524933964
0.89,0.151181102,-0.382677165,4.21472750713256
0.09,0.351181102,-0.382677165,3.61184809390419
0.19,0.351181102,-0.382677165,2.47320282158452
0.29,0.351181102,-0.382677165,1.64802722600593
0.39,0.351181102,-0.382677165,1.31647107115346
0.49,0.351181102,-0.382677165,1.12540446998791
0.59,0.351181102,-0.382677165,0.797572795137712
0.69,0.351181102,-0.382677165,0.892502108925979
0.79,0.351181102,-0.382677165,1.95150325502627
0.89,0.351181102,-0.382677165,3.60624551281919
0.09,0.551181102,-0.382677165,2.66733654594806
0.19,0.551181102,-0.382677165,1.52869127362839
0.29,0.551181102,-0.382677165,0.703515678049808
0.39,0.551181102,-0.382677165,0.371959523197337
0.49,0.551181102,-0.382677165,0.180892922031788
0.59,0.551181102,-0.382677165,-0.146938752818411
0.69,0.551181102,-0.382677165,-0.0520094390301449
0.79,0.551181102,-0.382677165,1.00699170707015
0.89,0.551181102,-0.382677165,2.66173396486307
0.09,-0.448818898,-0.182677165,1.30772057586252
0.19,-0.448818898,-0.182677165,0.169075303542845
0.29,-0.448818898,-0.182677165,-0.656100292035741
0.39,-0.448818898,-0.182677165,-0.987656446888212
0.49,-0.448818898,-0.182677165,-1.17872304805376
0.59,-0.448818898,-0.182677165,-1.50655472290396
0.69,-0.448818898,-0.182677165,-1.41162540911569
0.79,-0.448818898,-0.182677165,-0.352624263015402
0.89,-0.448818898,-0.182677165,1.30211799477752
0.09,-0.248818898,-0.182677165,2.92645748521707
0.19,-0.248818898,-0.182677165,1.7878122128974
0.29,-0.248818898,-0.182677165,0.962636617318818
0.39,-0.248818898,-0.182677165,0.631080462466347
0.49,-0.248818898,-0.182677165,0.440013861300798
0.59,-0.248818898,-0.182677165,0.112182186450599
0.69,-0.248818898,-0.182677165,0.207111500238865
0.79,-0.248818898,-0.182677165,1.26611264633916
0.89,-0.248818898,-0.182677165,2.92085490413208
0.09,-0.048818898,-0.182677165,4.17913541814835
0.19,-0.048818898,-0.182677165,3.04049014582868
0.29,-0.048818898,-0.182677165,2.2153145502501
0.39,-0.048818898,-0.182677165,1.88375839539763
0.49,-0.048818898,-0.182677165,1.69269179423208
0.59,-0.048818898,-0.182677165,1.36486011938188
0.69,-0.048818898,-0.182677165,1.45978943317014
0.79,-0.048818898,-0.182677165,2.51879057927043
0.89,-0.048818898,-0.182677165,4.17353283706336
0.09,0.151181102,-0.182677165,4.4943035206618
0.19,0.151181102,-0.182677165,3.35565824834213
0.29,0.151181102,-0.182677165,2.53048265276354
0.39,0.151181102,-0.182677165,2.19892649791107
0.49,0.151181102,-0.182677165,2.00785989674552
0.59,0.151181102,-0.182677165,1.68002822189532
