views,appreciations,comments,followers,duration
8610,1135,46,1484,350
6014,421,14,1218,573
2858,249,5,914,658
4711,338,3,2042,1238
6599,557,20,1453,1526
11795,1224,77,4001,814
5798,741,25,3454,919
21428,2141,50,1276,943
12462,1073,29,10827,960
3583,307,15,1961,991
5219,470,8,2340,1004
14274,865,22,942,1099
668,38,2,48,1206
8163,996,32,349,1457
1391,46,0,275,2233
3017,261,12,137,1811
2997,282,8,159,1546
629,7,0,68,1904
1041,40,0,36,1844
1466,53,3,42,1845
745,31,0,74,1974
2703,178,8,285,1980
5192,531,27,4075,1856
3461,123,4,137,1934
12544,732,67,13670,3396
3363,138,1,48,2151
83149,16110,222,36804,2054
20780,1682,42,3454,2102
3580,234,2,165,2212
3137,173,9,1422,2497
2964,54,3,666,2602
1542,40,1,45,3059
2246,63,5,83,3222
