"l","a","b","u"
0.09,-0.4488,-0.472,0
0.19,-0.4488,-0.472,-0.890511214202324
0.29,-0.4488,-0.472,-1.60940677534571
0.39,-0.4488,-0.472,-2.0510867851419
0.49,-0.4488,-0.472,-2.37401436438531
0.59,-0.4488,-0.472,-2.67105255037502
0.69,-0.4488,-0.472,-2.50860102734592
0.79,-0.4488,-0.472,-1.50103848885957
0.89,-0.4488,-0.472,0.0188769811517514
0.09,-0.3488,-0.472,0.380861803173166
0.19,-0.3488,-0.472,-0.509649411029158
0.29,-0.3488,-0.472,-1.22854497217254
0.39,-0.3488,-0.472,-1.67022498196873
0.49,-0.3488,-0.472,-1.99315256121214
0.59,-0.3488,-0.472,-2.29019074720185
0.69,-0.3488,-0.472,-2.12773922417276
0.79,-0.3488,-0.472,-1.12017668568641
0.89,-0.3488,-0.472,0.399738784324918
0.09,-0.2488,-0.472,0.872441009817158
0.19,-0.2488,-0.472,-0.0180702043851665
0.29,-0.2488,-0.472,-0.736965765528553
0.39,-0.2488,-0.472,-1.17864577532474
0.49,-0.2488,-0.472,-1.50157335456815
0.59,-0.2488,-0.472,-1.79861154055786
0.69,-0.2488,-0.472,-1.63616001752877
0.79,-0.2488,-0.472,-0.628597479042414
0.89,-0.2488,-0.472,0.891317990968909
0.09,-0.1488,-0.472,1.5400485092975
0.19,-0.1488,-0.472,0.649537295095174
0.29,-0.1488,-0.472,-0.069358266048213
0.39,-0.1488,-0.472,-0.511038275844397
0.49,-0.1488,-0.472,-0.833965855087812
0.59,-0.1488,-0.472,-1.13100404107752
0.69,-0.1488,-0.472,-0.968552518048427
0.79,-0.1488,-0.472,0.0390100204379262
0.89,-0.1488,-0.472,1.55892549044925
0.09,-0.0488,-0.472,2.26736913455851
0.19,-0.0488,-0.472,1.37685792035618
0.29,-0.0488,-0.472,0.657962359212796
0.39,-0.0488,-0.472,0.216282349416612
0.49,-0.0488,-0.472,-0.106645229826803
0.59,-0.0488,-0.472,-0.403683415816512
0.69,-0.0488,-0.472,-0.241231892787418
0.79,-0.0488,-0.472,0.766330645698935
0.89,-0.0488,-0.472,2.28624611571026
0.09,0.0512,-0.472,2.89268120443921
0.19,0.0512,-0.472,2.00216999023688
0.29,0.0512,-0.472,1.28327442909349
