"l","a","b","u"
0.09,-0.4488,-0.472,0
0.19,-0.4488,-0.472,-1.78410342095514
0.29,-0.4488,-0.472,-2.98058796959146
0.39,-0.4488,-0.472,-3.23480262892511
0.49,-0.4488,-0.472,-3.12396780331223
0.59,-0.4488,-0.472,-3.21742658841683
0.69,-0.4488,-0.472,-3.12114142379435
0.79,-0.4488,-0.472,-2.37476226190161
0.89,-0.4488,-0.472,-1.21606976290948
0.09,-0.3488,-0.472,0.404197780973498
0.19,-0.3488,-0.472,-1.37990563998165
0.29,-0.3488,-0.472,-2.57639018861796
0.39,-0.3488,-0.472,-2.83060484795161
0.49,-0.3488,-0.472,-2.71977002233873
0.59,-0.3488,-0.472,-2.81322880744333
0.69,-0.3488,-0.472,-2.71694364282085
0.79,-0.3488,-0.472,-1.97056448092811
0.89,-0.3488,-0.472,-0.811871981935984
0.09,-0.2488,-0.472,0.958388204533172
0.19,-0.2488,-0.472,-0.825715216421972
0.29,-0.2488,-0.472,-2.02219976505829
0.39,-0.2488,-0.472,-2.27641442439193
0.49,-0.2488,-0.472,-2.16557959877906
0.59,-0.2488,-0.472,-2.25903838388366
0.69,-0.2488,-0.472,-2.16275321926118
0.79,-0.2488,-0.472,-1.41637405736844
0.89,-0.2488,-0.472,-0.257681558376309
0.09,-0.1488,-0.472,1.73640105288506
0.19,-0.1488,-0.472,-0.0477023680700839
0.29,-0.1488,-0.472,-1.2441869167064
0.39,-0.1488,-0.472,-1.49840157604005
0.49,-0.1488,-0.472,-1.38756675042717
0.59,-0.1488,-0.472,-1.48102553553177
0.69,-0.1488,-0.472,-1.38474037090929
0.79,-0.1488,-0.472,-0.638361209016548
0.89,-0.1488,-0.472,0.520331289975578
0.09,-0.0488,-0.472,2.50741466671464
0.19,-0.0488,-0.472,0.723311245759497
0.29,-0.0488,-0.472,-0.473173302876817
0.39,-0.0488,-0.472,-0.727387962210465
0.49,-0.0488,-0.472,-0.61655313659759
0.59,-0.0488,-0.472,-0.710011921702189
0.69,-0.0488,-0.472,-0.613726757079708
0.79,-0.0488,-0.472,0.132652404813033
0.89,-0.0488,-0.472,1.29134490380516
0.09,0.0512,-0.472,2.96444452632726
0.19,0.0512,-0.472,1.18034110537211
0.29,0.0512,-0.472,-0.0161434432642
0.39,0.0512,-0.472,-0.270358102597847
0.49,0.0512,-0.472,-0.159523276984972
0.59,0.0512,-0.472,-0.252982062089571
0.69,0.0512,-0.472,-0.156696897467091
0.79,0.0512,-0.472,0.589682264425651
0.89,0.0512,-0.472,1.74837476341778
0.09,0.1512,-0.472,2.90164715259109
0.19,0.1512,-0.472,1.11754373163595
0.29,0.1512,-0.472,-0.0789408170003636
0.39,0.1512,-0.472,-0.333155476334011
0.49,0.1512,-0.472,-0.222320650721136
0.59,0.1512,-0.472,-0.315779435825735
0.69,0.1512,-0.472,-0.219494271203254
0.79,0.1512,-0.472,0.526884890689487
0.89,0.1512,-0.472,1.68557738968161
0.09,0.2512,-0.472,2.51774322862571
0.19,0.2512,-0.472,0.733639807670566
0.29,0.2512,-0.472,-0.462844740965749
0.39,0.2512,-0.472,-0.717059400299397
0.49,0.2512,-0.472,-0.606224574686522
0.59,0.2512,-0.472,-0.69968335979112
0.69,0.2512,-0.472,-0.60339819516864
0.79,0.2512,-0.472,0.142980966724101
0.89,0.2512,-0.472,1.30167346571623
0.09,0.3512,-0.472,2.1125944781135
0.19,0.3512,-0.472,0.328491057158353
0.29,0.3512,-0.472,-0.867993491477962
0.39,0.3512,-0.472,-1.12220815081161
0.49,0.3512,-0.472,-1.01137332519873
0.59,0.3512,-0.472,-1.10483211030333
0.69,0.3512,-0.472,-1.00854694568085
0.79,0.3512,-0.472,-0.262167783788112
0.89,0.3512,-0.472,0.896524715204015
0.09,0.4512,-0.472,1.91286759602849
0.19,0.4512,-0.472,0.12876417507335
0.29,0.4512,-0.472,-1.06772037356297
0.39,0.4512,-0.472,-1.32193503289661
0.49,0.4512,-0.472,-1.21110020728374
0.59,0.4512,-0.472,-1.30455899238834
0.69,0.4512,-0.472,-1.20827382776586
0.79,0.4512,-0.472,-0.461894665873114
0.89,0.4512,-0.472,0.696797833119012
0.09,0.5512,-0.472,1.85244916251128
0.19,0.5512,-0.472,0.0683457415561339
0.29,0.5512,-0.472,-1.12813880708018
0.39,0.5512,-0.472,-1.38235346641383
0.49,0.5512,-0.472,-1.27151864080095
0.59,0.5512,-0.472,-1.36497742590555
0.69,0.5512,-0.472,-1.26869226128307
0.79,0.5512,-0.472,-0.52231309939033
0.89,0.5512,-0.472,0.636379399601796
0.09,-0.4488,-0.372,0.808741183456151
0.19,-0.4488,-0.372,-0.975362237498992
