"l","a","b","u"
0.09,-0.448818898,-0.472440945,0
0.19,-0.448818898,-0.472440945,-2.74473099300518
0.29,-0.448818898,-0.472440945,-4.8129875179152
0.39,-0.448818898,-0.472440945,-5.64346536249886
0.49,-0.448818898,-0.472440945,-5.13554133798078
0.59,-0.448818898,-0.472440945,-3.51017604693656
0.69,-0.448818898,-0.472440945,-1.81398423388976
0.79,-0.448818898,-0.472440945,-0.992639319015191
0.89,-0.448818898,-0.472440945,-0.762395283144612
0.09,-0.348818898,-0.472440945,1.3093490122774
0.19,-0.348818898,-0.472440945,-1.43538198072778
0.29,-0.348818898,-0.472440945,-3.5036385056378
0.39,-0.348818898,-0.472440945,-4.33411635022146
0.49,-0.348818898,-0.472440945,-3.82619232570338
0.59,-0.348818898,-0.472440945,-2.20082703465916
0.69,-0.348818898,-0.472440945,-0.504635221612365
0.79,-0.348818898,-0.472440945,0.316709693262208
0.89,-0.348818898,-0.472440945,0.546953729132787
0.09,-0.248818898,-0.472440945,2.39701649546787
0.19,-0.248818898,-0.472440945,-0.347714497537311
0.29,-0.248818898,-0.472440945,-2.41597102244733
0.39,-0.248818898,-0.472440945,-3.24644886703099
0.49,-0.248818898,-0.472440945,-2.73852484251291
0.59,-0.248818898,-0.472440945,-1.11315955146869
0.69,-0.248818898,-0.472440945,0.583032261578106
0.79,-0.248818898,-0.472440945,1.40437717645268
0.89,-0.248818898,-0.472440945,1.63462121232326
0.09,-0.148818898,-0.472440945,3.0749026674416
0.19,-0.148818898,-0.472440945,0.33017167443642
0.29,-0.148818898,-0.472440945,-1.7380848504736
0.39,-0.148818898,-0.472440945,-2.56856269505726
0.49,-0.148818898,-0.472440945,-2.06063867053918
0.59,-0.148818898,-0.472440945,-0.435273379494962
0.69,-0.148818898,-0.472440945,1.26091843355184
0.79,-0.148818898,-0.472440945,2.08226334842641
0.89,-0.148818898,-0.472440945,2.31250738429699
0.09,-0.048818898,-0.472440945,3.28923473389722
0.19,-0.048818898,-0.472440945,0.544503740892035
0.29,-0.048818898,-0.472440945,-1.52375278401799
0.39,-0.048818898,-0.472440945,-2.35423062860164
0.49,-0.048818898,-0.472440945,-1.84630660408357
0.59,-0.048818898,-0.472440945,-0.220941313039347
0.69,-0.048818898,-0.472440945,1.47525050000745
0.79,-0.048818898,-0.472440945,2.29659541488203
0.89,-0.048818898,-0.472440945,2.5268394507526
0.09,0.051181102,-0.472440945,3.01982164749045
0.19,0.051181102,-0.472440945,0.275090654485271
0.29,0.051181102,-0.472440945,-1.79316587042475
0.39,0.051181102,-0.472440945,-2.6236437150084
0.49,0.051181102,-0.472440945,-2.11571969049033
0.59,0.051181102,-0.472440945,-0.49035439944611
0.69,0.051181102,-0.472440945,1.20583741360069
0.79,0.051181102,-0.472440945,2.02718232847526
0.89,0.051181102,-0.472440945,2.25742636434584
0.09,0.151181102,-0.472440945,2.36557608084791
0.19,0.151181102,-0.472440945,-0.379154912157272
0.29,0.151181102,-0.472440945,-2.44741143706729
0.39,0.151181102,-0.472440945,-3.27788928165095
0.49,0.151181102,-0.472440945,-2.76996525713287
0.59,0.151181102,-0.472440945,-1.14459996608865
0.69,0.151181102,-0.472440945,0.551591846958145
0.79,0.151181102,-0.472440945,1.37293676183272
0.89,0.151181102,-0.472440945,1.6031807977033
0.09,0.251181102,-0.472440945,1.90182558647965
0.19,0.251181102,-0.472440945,-0.842905406525531
0.29,0.251181102,-0.472440945,-2.91116193143555
0.39,0.251181102,-0.472440945,-3.74163977601921
0.49,0.251181102,-0.472440945,-3.23371575150113
0.59,0.251181102,-0.472440945,-1.60835046045691
0.69,0.251181102,-0.472440945,0.0878413525898867
0.79,0.251181102,-0.472440945,0.90918626746446
0.89,0.251181102,-0.472440945,1.13943030333504
0.09,0.351181102,-0.472440945,2.3230014368666
