k,l,a,b,p1,ln1,p2,ln2,p3,ln3
1,0.09,0,0,0.31,5.7366,0.299,5.700443573,0.261,5.564520407
2,0.31,-0.0157,-0.2677,0.024,3.1781,0.029,3.36729583,0.001,0
3,0.53,0.0866,-0.472,0.005,1.6094,0.008,2.079441542,0.005,1.609437912
4,0.63,-0.4252,0.315,0.001,0,0.001,0,0.006,1.791759469
5,0.8,-0.4409,0.0866,0.001,0,0.001,0,0.006,1.791759469
6,0.17,0.189,0.1024,0.009,2.1972,0.014,2.63905733,0.003,1.098612289
7,0.32,0,0,0.022,3.091,0.028,3.33220451,0.008,2.079441542
8,0.51,-0.0472,-0.252,0.002,0.6931,0.002,0.693147181,0.017,2.833213344
9,0.67,-0.1417,-0.2677,0.007,1.9459,0.006,1.791759469,0.015,2.708050201
10,0.8,-0.4488,0.2913,0.001,0,0.001,0,0.006,1.791759469
11,0.28,0.3386,0.2205,0.179,5.1874,0.155,5.043425117,0.234,5.455321115
12,0.38,0.1732,0.0709,0.003,1.0986,0.005,1.609437912,0.005,1.609437912
13,0.52,0,0,0.125,4.8283,0.103,4.634728988,0.024,3.17805383
14,0.68,-0.1339,-0.0472,0.002,0.6931,0.002,0.693147181,0.007,1.945910149
15,0.84,-0.2441,-0.0787,0.035,3.5553,0.03,3.401197382,0.053,3.970291914
16,0.39,0.4409,0.1024,0.007,1.9459,0.009,2.197224577,0.004,1.386294361
17,0.51,0.4646,-0.4646,0.001,0,0.001,0,0.006,1.791759469
18,0.56,0.1102,0.4488,0.018,2.8904,0.027,3.295836866,0.004,1.386294361
19,0.71,0,0,0.003,1.0986,0.005,1.609437912,0.008,2.079441542
20,0.84,-0.2283,0.3386,0.005,1.6094,0.005,1.609437912,0.012,2.48490665
21,0.49,0.5669,0.2205,0.002,0.6931,0.002,0.693147181,0.007,1.945910149
22,0.56,0.5197,-0.1654,0.002,0.6931,0.003,1.098612289,0.006,1.791759469
23,0.63,0.2756,0.5118,0.018,2.8904,0.019,2.944438979,0.016,2.772588722
24,0.75,0.1102,0.2598,0.018,2.8904,0.029,3.36729583,0.004,1.386294361
25,0.9,0,0,0.2,5.2983,0.216,5.375278408,0.285,5.65248918
